ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2015,26,female,unemployed,urban,637.0,,,,
BEN,Benin,2015,26,female,unemployed,rural,277.0,,,,
BEN,Benin,2015,26,male,employed,rural,40312.0,,,,
BEN,Benin,2015,26,male,employed,urban,34946.0,,,,
BEN,Benin,2015,26,male,unemployed,rural,209.0,,,,
BEN,Benin,2015,26,male,unemployed,urban,809.0,,,,
BEN,Benin,2015,27,female,employed,rural,33542.0,,,,
BEN,Benin,2015,27,female,employed,urban,25250.0,,,,
BEN,Benin,2015,27,female,unemployed,rural,271.0,,,,
BEN,Benin,2015,27,female,unemployed,urban,621.0,,,,
BEN,Benin,2015,27,male,employed,urban,33262.0,,,,
BEN,Benin,2015,27,male,employed,rural,38369.0,,,,
BEN,Benin,2015,27,male,unemployed,urban,771.0,,,,
BEN,Benin,2015,27,male,unemployed,rural,198.0,,,,
BEN,Benin,2015,28,female,employed,urban,23692.0,,,,
BEN,Benin,2015,28,female,employed,rural,31470.0,,,,
BEN,Benin,2015,28,female,unemployed,rural,253.0,,,,
BEN,Benin,2015,28,female,unemployed,urban,584.0,,,,
BEN,Benin,2015,28,male,employed,urban,32420.0,,,,
BEN,Benin,2015,28,male,employed,rural,37398.0,,,,
BEN,Benin,2015,28,male,unemployed,urban,751.0,,,,
BEN,Benin,2015,28,male,unemployed,rural,194.0,,,,
BEN,Benin,2015,29,female,employed,rural,30643.0,,,,
BEN,Benin,2015,29,female,employed,urban,23068.0,,,,
BEN,Benin,2015,29,female,unemployed,rural,247.0,,,,
BEN,Benin,2015,29,female,unemployed,urban,568.0,,,,
BEN,Benin,2015,29,male,employed,rural,35940.0,,,,
BEN,Benin,2015,29,male,employed,urban,31157.0,,,,
BEN,Benin,2015,29,male,unemployed,urban,722.0,,,,
BEN,Benin,2015,29,male,unemployed,rural,186.0,,,,
BEN,Benin,2015,30,female,employed,urban,22757.0,,,,
BEN,Benin,2015,30,female,employed,rural,30228.0,,,,
BEN,Benin,2015,30,female,unemployed,rural,244.0,,,,
BEN,Benin,2015,30,female,unemployed,urban,560.0,,,,
BEN,Benin,2015,30,male,employed,rural,35456.0,,,,
BEN,Benin,2015,30,male,employed,urban,30735.0,,,,
BEN,Benin,2015,30,male,unemployed,urban,712.0,,,,
BEN,Benin,2015,30,male,unemployed,rural,184.0,,,,
BEN,Benin,2015,31,female,employed,rural,28572.0,,,,
BEN,Benin,2015,31,female,employed,urban,21510.0,,,,
BEN,Benin,2015,31,female,unemployed,rural,230.0,,,,
BEN,Benin,2015,31,female,unemployed,urban,530.0,,,,
BEN,Benin,2015,31,male,employed,rural,33513.0,,,,
BEN,Benin,2015,31,male,employed,urban,29051.0,,,,
BEN,Benin,2015,31,male,unemployed,urban,673.0,,,,
BEN,Benin,2015,31,male,unemployed,rural,174.0,,,,
BEN,Benin,2015,32,female,employed,rural,27744.0,,,,
BEN,Benin,2015,32,female,employed,urban,20886.0,,,,
BEN,Benin,2015,32,female,unemployed,rural,224.0,,,,
BEN,Benin,2015,32,female,unemployed,urban,514.0,,,,
BEN,Benin,2015,32,male,employed,urban,27789.0,,,,
BEN,Benin,2015,32,male,employed,rural,32055.0,,,,
BEN,Benin,2015,32,male,unemployed,urban,644.0,,,,
BEN,Benin,2015,32,male,unemployed,rural,166.0,,,,
BEN,Benin,2015,33,female,employed,urban,20262.0,,,,
BEN,Benin,2015,33,female,employed,rural,26916.0,,,,
BEN,Benin,2015,33,female,unemployed,urban,499.0,,,,
